,,,,,,,
,,,,,,,
,,,,,,,
Faculty,Area of Study,Area of Study Code,Level,Offered,Unit Code,Unit Name,More Info
Agriculture and Environment,Agricultural Genetics,GENE,UG,Semester 1,GENE4013,Molecular Genetics and Breeding,http://sydney.edu.au/courses/uos/GENE4013
Agriculture and Environment,Agricultural Genetics,GENE,UG,Semester 2 - Intensive July,GENE4015,Cytogenetics,http://sydney.edu.au/courses/uos/GENE4015
Agriculture and Environment,Horticultural Science,HORT,UG,Semester 1,HORT3005,Production Horticulture,http://sydney.edu.au/courses/uos/HORT3005
Agriculture and Environment,Horticultural Science,HORT,UG,Semester 1,HORT4004,Issues in Horticultural Science 4A,http://sydney.edu.au/courses/uos/HORT4004
Agriculture and Environment,Horticultural Science,HORT,UG,Semester 2,HORT4005,Research and Practice in Hort Science,http://sydney.edu.au/courses/uos/HORT4005
Agriculture and Environment,Land and Water Science,LWSC,UG,Semester 2,LWSC2002,Introductory Hydrology,http://sydney.edu.au/courses/uos/LWSC2002
Agriculture and Environment,Land and Water Science,LWSC,UG,Semester 1,LWSC3007,Advanced Hydrology and Modelling,http://sydney.edu.au/courses/uos/LWSC3007
Agriculture and Environment,Plant Pathology,PPAT,UG,Semester 1,PPAT3003,Plant Health and Disease,http://sydney.edu.au/courses/uos/PPAT3003
Agriculture and Environment,Soil Science,SOIL,UG,Semester 1,SOIL2003,Soil Properties and Processes,http://sydney.edu.au/courses/uos/SOIL2003
Agriculture and Environment,Soil Science,SOIL,UG,Semester 2,SOIL2004,The Soil Resource,http://sydney.edu.au/courses/uos/SOIL2004
Agriculture and Environment,Soil Science,SOIL,UG,Semester 1,SOIL3009,Contemporary Field and Lab Soil Science,http://sydney.edu.au/courses/uos/SOIL3009
Agriculture and Environment,Soil Science,SOIL,UG,Semester 2,SOIL3010,The Soil at Work,http://sydney.edu.au/courses/uos/SOIL3010
Architecture and Design,Design & Planning,BADP,UG,Semester 2,BADP1001,Empirical Thinking,http://sydney.edu.au/courses/uos/BADP1001
Architecture and Design,Design & Planning,BADP,UG,Semester 2,BADP2001,Algorithmic Architecture,http://sydney.edu.au/courses/uos/BADP2001
Architecture and Design,Design & Planning,BADP,UG,Semester 1,BADP2002,City Form and Development,http://sydney.edu.au/courses/uos/BADP2002
Architecture and Design,Design & Planning,BADP,UG,Semester 1,BADP2003,Light and Sound,http://sydney.edu.au/courses/uos/BADP2003
Architecture and Design,Design & Planning,BADP,UG,Semester 1,BADP3001,Designing for Environmental Quality,http://sydney.edu.au/courses/uos/BADP3001
Architecture and Design,Design & Planning,BADP,UG,Semester 2,BADP3002,Property and the Built Environment,http://sydney.edu.au/courses/uos/BADP3002
Architecture and Design,Architecture and Environment,BAEN,UG,Semester 2,BAEN1001,Design in Architecture,http://sydney.edu.au/courses/uos/BAEN1001
Architecture and Design,Architecture and Environment,BAEN,UG,Semester 1,BAEN2001,Design Integration Lab: Materials,http://sydney.edu.au/courses/uos/BAEN2001
Architecture and Design,Architecture and Environment,BAEN,UG,Semester 2,BAEN2002,Design Integration Lab: Energy,http://sydney.edu.au/courses/uos/BAEN2002
Architecture and Design,Architecture and Environment,BAEN,UG,Semester 1,BAEN3001,Design Integration Lab: Urban,http://sydney.edu.au/courses/uos/BAEN3001
Architecture and Design,Architecture and Environment,BAEN,UG,Semester 2,BAEN3002,Design Integration Lab: Capstone,http://sydney.edu.au/courses/uos/BAEN3002
Architecture and Design,Architecture Studio,BDES,UG,Semester 1,BDES1011,Architectural History/Theory 1,http://sydney.edu.au/courses/uos/BDES1011
Architecture and Design,Architecture Studio,BDES,UG,Semester 2,BDES1012,Architectural Communications 1,http://sydney.edu.au/courses/uos/BDES1012
Architecture and Design,Architecture Studio,BDES,UG,Semester 2,BDES1023,Architectural Technologies 1,http://sydney.edu.au/courses/uos/BDES1023
Architecture and Design,Architecture Studio,BDES,UG,Semester 1,BDES1024,Art Workshop 1,http://sydney.edu.au/courses/uos/BDES1024
Architecture and Design,Architecture Studio,BDES,UG,Semester 1,BDES1026,Architecture Studio 1A,http://sydney.edu.au/courses/uos/BDES1026
Architecture and Design,Architecture Studio,BDES,UG,Semester 2,BDES1027,Architecture Studio 1B,http://sydney.edu.au/courses/uos/BDES1027
Architecture and Design,Architecture Studio,BDES,UG,Semester 1,BDES2012,Architectural Communications 2,http://sydney.edu.au/courses/uos/BDES2012
Architecture and Design,Architecture Studio,BDES,UG,Both semesters,BDES2013,Architectural Technologies 2,http://sydney.edu.au/courses/uos/BDES2013
Architecture and Design,Architecture Studio,BDES,UG,Semester 2,BDES2021,Architectural History/Theory 2,http://sydney.edu.au/courses/uos/BDES2021
Architecture and Design,Architecture Studio,BDES,UG,Semester 2,BDES2024,Art Workshop 2,http://sydney.edu.au/courses/uos/BDES2024
Architecture and Design,Architecture Studio,BDES,UG,Semester 1,BDES2026,Architecture Studio 2A,http://sydney.edu.au/courses/uos/BDES2026
Architecture and Design,Architecture Studio,BDES,UG,Semester 2,BDES2027,Architecture Studio 2B,http://sydney.edu.au/courses/uos/BDES2027
Architecture and Design,Architecture Studio,BDES,UG,Semester 1,BDES3011,Architectural History/Theory 3,http://sydney.edu.au/courses/uos/BDES3011
Architecture and Design,Architecture Studio,BDES,UG,Semester 2,BDES3012,Architectural Communications 3,http://sydney.edu.au/courses/uos/BDES3012
Architecture and Design,Architecture Studio,BDES,UG,Semester 1,BDES3023,Architectural Technologies 3,http://sydney.edu.au/courses/uos/BDES3023
Architecture and Design,Architecture Studio,BDES,UG,Semester 1,BDES3026,Architecture Studio 3A,http://sydney.edu.au/courses/uos/BDES3026
Architecture and Design,Architecture Studio,BDES,UG,Semester 2,BDES3027,Architecture Studio 3B,http://sydney.edu.au/courses/uos/BDES3027
Architecture and Design,Digital Architecture,DAAE,UG,Semester 2,DAAE1001,Living Cities,http://sydney.edu.au/courses/uos/DAAE1001
Architecture and Design,Digital Architecture,DAAE,UG,Semester 2,DAAE2001,20th Century Australian Architecture,http://sydney.edu.au/courses/uos/DAAE2001
Architecture and Design,Digital Architecture,DAAE,UG,Both semesters,DAAE2005,Designing with Colour,http://sydney.edu.au/courses/uos/DAAE2005
Architecture and Design,Digital Architecture,DAAE,UG,Semester 2,DAAE2008,Innovative Building Structures,http://sydney.edu.au/courses/uos/DAAE2008
Architecture and Design,Digital Architecture,DAAE,UG,Semester 1,DAAE2011,Intro to Visual Communication Design,http://sydney.edu.au/courses/uos/DAAE2011
Architecture and Design,Digital Architecture,DAAE,UG,Semester 1,DAAE3001,Sustainable Architectural Practice,http://sydney.edu.au/courses/uos/DAAE3001
Architecture and Design,Design Computing,DECO,UG,Semester 1,DECO1006,Design Thinking,http://sydney.edu.au/courses/uos/DECO1006
Architecture and Design,Design Computing,DECO,UG,Semester 1,DECO1012,Design Programming,http://sydney.edu.au/courses/uos/DECO1012
Architecture and Design,Design Computing,DECO,UG,Semester 2,DECO1013,Physical Computing,http://sydney.edu.au/courses/uos/DECO1013
Architecture and Design,Design Computing,DECO,UG,Semester 1,DECO1014,Digital Media Production,http://sydney.edu.au/courses/uos/DECO1014
Architecture and Design,Design Computing,DECO,UG,Semester 1,DECO2010,Designing Social Media,http://sydney.edu.au/courses/uos/DECO2010
Architecture and Design,Design Computing,DECO,UG,Semester 1,DECO2014,User Experience Design Studio,http://sydney.edu.au/courses/uos/DECO2014
Architecture and Design,Design Computing,DECO,UG,Semester 2,DECO2015,Design for Innovation,http://sydney.edu.au/courses/uos/DECO2015
Architecture and Design,Design Computing,DECO,UG,Semester 1,DECO2101,Visual Communication,http://sydney.edu.au/courses/uos/DECO2101
Architecture and Design,Design Computing,DECO,UG,Semester 2,DECO2102,Web Design and Technologies,http://sydney.edu.au/courses/uos/DECO2102
Architecture and Design,Design Computing,DECO,UG,Semester 1,DECO2103,3D Modelling and Fabrication,http://sydney.edu.au/courses/uos/DECO2103
Architecture and Design,Design Computing,DECO,UG,Semester 2,DECO2200,Interaction Design Studio,http://sydney.edu.au/courses/uos/DECO2200
Architecture and Design,Design Computing,DECO,UG,Semester 2,DECO3006,Animation and Motion Design,http://sydney.edu.au/courses/uos/DECO3006
Architecture and Design,Design Computing,DECO,UG,Semester 1,DECO3101,Innovation Design Studio,http://sydney.edu.au/courses/uos/DECO3101
Architecture and Design,Design Science Art Studio,DESA,UG,Semester 2,DESA1004,Designing with Surfaces and Light,http://sydney.edu.au/courses/uos/DESA1004
Architecture and Design,Design Science Art Studio,DESA,UG,Semester 1,DESA3005,Architectural Drawing Through History,http://sydney.edu.au/courses/uos/DESA3005
Architecture and Design,Design Science Art Studio,DESA,UG,Both semesters,DESA3006,Architectural Investigations: Models,http://sydney.edu.au/courses/uos/DESA3006
Architecture and Design,Design Science Art Studio,DESA,UG,Semester 2,DESA3008,Architectural Models: Theory and Practice,http://sydney.edu.au/courses/uos/DESA3008
Architecture and Design,Design Science Art Studio,DESA,UG,Semester 2,DESA3009,Advanced Fabrication,http://sydney.edu.au/courses/uos/DESA3009
Architecture and Design,Design Science Art Studio,DESA,UG,Semester 2,DESA3011,Introduction to Building Construction,http://sydney.edu.au/courses/uos/DESA3011
Architecture and Design,Design Science Art Studio,DESA,UG,Semester 2,DESA3012,Architecture's Other: Radical Practices,http://sydney.edu.au/courses/uos/DESA3012
Architecture and Design,Design Science Art Studio,DESA,UG,Both semesters,DESA3013,Expanded Colour: Theory to Application,http://sydney.edu.au/courses/uos/DESA3013
Arts and Social Sciences,Environmental and Resource Economics,AGEC,UG,Semester 2,AGEC1006,Economic Environment of Agriculture,http://sydney.edu.au/courses/uos/AGEC1006
Arts and Social Sciences,Environmental and Resource Economics,AGEC,UG,Semester 1,AGEC2102,Agribusiness Marketing,http://sydney.edu.au/courses/uos/AGEC2102
Arts and Social Sciences,American Studies,AMST,UG,Semester 2,AMST1001,Global America,http://sydney.edu.au/courses/uos/AMST1001
Arts and Social Sciences,American Studies,AMST,UG,Semester 1,AMST2601,American Foundations,http://sydney.edu.au/courses/uos/AMST2601
Arts and Social Sciences,American Studies,AMST,UG,Semester 2,AMST2606,Stand Up USA: American Comedy and Humour,http://sydney.edu.au/courses/uos/AMST2606
Arts and Social Sciences,Ancient History,ANHS,UG,Semester 1,ANHS1600,Foundations for Ancient Greece,http://sydney.edu.au/courses/uos/ANHS1600
Arts and Social Sciences,Ancient History,ANHS,UG,Semester 2,ANHS1601,Foundations for Ancient Rome,http://sydney.edu.au/courses/uos/ANHS1601
Arts and Social Sciences,Ancient History,ANHS,UG,Semester 2,ANHS1602,Greek and Roman Myth,http://sydney.edu.au/courses/uos/ANHS1602
Arts and Social Sciences,Ancient History,ANHS,UG,Semester 1,ANHS2602,Law~ Disorder and Ideology in Rome,http://sydney.edu.au/courses/uos/ANHS2602
Arts and Social Sciences,Ancient History,ANHS,UG,Semester 2,ANHS2610,SPQR: The Senate and People of Rome,http://sydney.edu.au/courses/uos/ANHS2610
Arts and Social Sciences,Ancient History,ANHS,UG,Semester 2,ANHS2618,The Later Roman Empire (AD 286-474),http://sydney.edu.au/courses/uos/ANHS2618
Arts and Social Sciences,Ancient History,ANHS,UG,Semester 1,ANHS2619,The World of Ancient Epic,http://sydney.edu.au/courses/uos/ANHS2619
Arts and Social Sciences,Ancient History,ANHS,UG,Semester 2,ANHS2622,Herodotus and His World,http://sydney.edu.au/courses/uos/ANHS2622
Arts and Social Sciences,Ancient History,ANHS,UG,Semester 2,ANHS3608,The Peloponnesian War and Culture,http://sydney.edu.au/courses/uos/ANHS3608
Arts and Social Sciences,Ancient History,ANHS,UG,Semester 1,ANHS3635,Historiography Ancient and Modern,http://sydney.edu.au/courses/uos/ANHS3635
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 1,ANTH1001,Cultural Difference: An Introduction,http://sydney.edu.au/courses/uos/ANTH1001
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 2,ANTH1002,Anthropology and the Global,http://sydney.edu.au/courses/uos/ANTH1002
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 2,ANTH2601,The Ethnography of Southeast Asia,http://sydney.edu.au/courses/uos/ANTH2601
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 1,ANTH2605,Aboriginal Australia: Cultural Journeys,http://sydney.edu.au/courses/uos/ANTH2605
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 2,ANTH2620,China: Contemporary Ethnographies,http://sydney.edu.au/courses/uos/ANTH2620
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 1,ANTH2623,Gender: Anthropological Studies,http://sydney.edu.au/courses/uos/ANTH2623
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 1,ANTH2627,Medical Anthropology,http://sydney.edu.au/courses/uos/ANTH2627
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 2,ANTH2629,Race and Ethnic Relations,http://sydney.edu.au/courses/uos/ANTH2629
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 2,ANTH2630,Indigenous Australia and Modernity,http://sydney.edu.au/courses/uos/ANTH2630
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 2,ANTH2631,Being There: Method in Anthropology,http://sydney.edu.au/courses/uos/ANTH2631
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 2,ANTH2653,Economy and Culture,http://sydney.edu.au/courses/uos/ANTH2653
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 1,ANTH2655,The Social Production of Space,http://sydney.edu.au/courses/uos/ANTH2655
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 2,ANTH2666,History of Anthropological Thought,http://sydney.edu.au/courses/uos/ANTH2666
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 1,ANTH2667,The Anthropology of Religion,http://sydney.edu.au/courses/uos/ANTH2667
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 1,ANTH3601,Contemporary Theory and Anthropology,http://sydney.edu.au/courses/uos/ANTH3601
Arts and Social Sciences,Anthropology,ANTH,UG,Semester 2,ANTH3602,Reading Ethnography,http://sydney.edu.au/courses/uos/ANTH3602
Arts and Social Sciences,Arabic Language,ARBC,UG,Semester 1,ARBC1611,Introductory Arabic 1A,http://sydney.edu.au/courses/uos/ARBC1611
Arts and Social Sciences,Arabic Language,ARBC,UG,Semester 2,ARBC1612,Introductory Arabic 1B,http://sydney.edu.au/courses/uos/ARBC1612
Arts and Social Sciences,Arabic Studies,ARBC,UG,Semester 1,ARBC1651,Introduction to Arab Cultures,http://sydney.edu.au/courses/uos/ARBC1651
Arts and Social Sciences,Arabic Studies,ARBC,UG,Semester 2,ARBC1652,Visions of Contemporary Arab Cultures,http://sydney.edu.au/courses/uos/ARBC1652
Arts and Social Sciences,Arabic Language,ARBC,UG,Semester 1,ARBC2613,Intermediate Arabic 2A,http://sydney.edu.au/courses/uos/ARBC2613
Arts and Social Sciences,Arabic Language,ARBC,UG,Semester 2,ARBC2614,Intermediate Arabic 2B,http://sydney.edu.au/courses/uos/ARBC2614
Arts and Social Sciences,Arabic Studies,ARBC,UG,Semester 1,ARBC2671,Transnational Muslim Women and Veiling,http://sydney.edu.au/courses/uos/ARBC2671
Arts and Social Sciences,Arabic Studies,ARBC,UG,Semester 2,ARBC2691,Egypt. Mother of the World,http://sydney.edu.au/courses/uos/ARBC2691
Arts and Social Sciences,Arabic Language,ARBC,UG,Semester 1,ARBC3615,Advanced Arabic 3A,http://sydney.edu.au/courses/uos/ARBC3615
Arts and Social Sciences,Arabic Language,ARBC,UG,Semester 2,ARBC3616,Advanced Arabic 3B,http://sydney.edu.au/courses/uos/ARBC3616
Arts and Social Sciences,Archeology,ARCA,UG,Semester 1,ARCA1000,Early Humans: Hunters and Farmers,http://sydney.edu.au/courses/uos/ARCA1000
Arts and Social Sciences,Archeology,ARCA,UG,Semester 2,ARCA1001,Ancient Civilisations,http://sydney.edu.au/courses/uos/ARCA1001
Arts and Social Sciences,Archeology,ARCA,UG,Semester 1,ARCA2604,Ancient Levant: Land of Wine and Merchants,http://sydney.edu.au/courses/uos/ARCA2604
Arts and Social Sciences,Archeology,ARCA,UG,Semester 2,ARCA2605,Ancient Australia,http://sydney.edu.au/courses/uos/ARCA2605
Arts and Social Sciences,Archeology,ARCA,UG,Semester 1,ARCA2610,Minoans and Mycenaens,http://sydney.edu.au/courses/uos/ARCA2610
Arts and Social Sciences,Archeology,ARCA,UG,Semester 2,ARCA2612,A Greek Odyssey: The First Millennium BC,http://sydney.edu.au/courses/uos/ARCA2612
Arts and Social Sciences,Archeology,ARCA,UG,Semester 2,ARCA2614,Contact and Exchange in South Italy,http://sydney.edu.au/courses/uos/ARCA2614
Arts and Social Sciences,Archeology,ARCA,UG,Semester 1,ARCA2618,World Heritage in Context,http://sydney.edu.au/courses/uos/ARCA2618
Arts and Social Sciences,Archeology,ARCA,UG,Semester 1,ARCA2634,Mobility and the Sedentary Transition,http://sydney.edu.au/courses/uos/ARCA2634
Arts and Social Sciences,Archeology,ARCA,UG,Semester 1,ARCA2635,Explanation and Theory in Archaeology,http://sydney.edu.au/courses/uos/ARCA2635
Arts and Social Sciences,Archeology,ARCA,UG,Semester 1,ARCA2638,Analysis of Lithic Technology,http://sydney.edu.au/courses/uos/ARCA2638
Arts and Social Sciences,Archeology,ARCA,UG,Semester 1,ARCA2640,Hunter-Gatherer Palaeoeconomies,http://sydney.edu.au/courses/uos/ARCA2640
Arts and Social Sciences,Archeology,ARCA,UG,Semester 2,ARCA2642,First Cities: A Global Approach,http://sydney.edu.au/courses/uos/ARCA2642
Arts and Social Sciences,Archeology,ARCA,UG,Semester 1,ARCA2644,Ancient Australia,http://sydney.edu.au/courses/uos/ARCA2644
Arts and Social Sciences,Archeology,ARCA,UG,Semester 2,ARCA3601,Research in Australasian Archaeology,http://sydney.edu.au/courses/uos/ARCA3601
Arts and Social Sciences,Archeology,ARCA,UG,Semester 2,ARCA3605,Dialogue of Civilizations: East and West,http://sydney.edu.au/courses/uos/ARCA3605
Arts and Social Sciences,Archeology,ARCA,UG,Semester 2,ARCA3622,Archeological Approaches to Innovation,http://sydney.edu.au/courses/uos/ARCA3622
Arts and Social Sciences,Environmental and Resource Economics,AREC,UG,Semester 1,AREC2001,Economics of Biological Production Systems,http://sydney.edu.au/courses/uos/AREC2001
Arts and Social Sciences,Environmental and Resource Economics,AREC,UG,Semester 2,AREC2002,Commodity Market and Price Analysis,http://sydney.edu.au/courses/uos/AREC2002
Arts and Social Sciences,Environmental and Resource Economics,AREC,UG,Semester 1,AREC2003,Concepts in Environmental and Resource Economics,http://sydney.edu.au/courses/uos/AREC2003
Arts and Social Sciences,Environmental and Resource Economics,AREC,UG,Semester 2,AREC2004,Benefit-Cost Analysis,http://sydney.edu.au/courses/uos/AREC2004
Arts and Social Sciences,Environmental and Resource Economics,AREC,UG,Semester 2,AREC3001,Production Modelling and Management,http://sydney.edu.au/courses/uos/AREC3001
Arts and Social Sciences,Environmental and Resource Economics,AREC,UG,Semester 2,AREC3002,Agricultural Markets,http://sydney.edu.au/courses/uos/AREC3002
Arts and Social Sciences,Environmental and Resource Economics,AREC,UG,Semester 2,AREC3004,Economics of Water and Bio-Resources,http://sydney.edu.au/courses/uos/AREC3004
Arts and Social Sciences,Environmental and Resource Economics,AREC,UG,Semester 1,AREC3005,Agricultural Finance and Risk,http://sydney.edu.au/courses/uos/AREC3005
Arts and Social Sciences,Art History,ARHT,UG,Semester 1,ARHT1001,Style and Substance: Introducing Art History,http://sydney.edu.au/courses/uos/ARHT1001
Arts and Social Sciences,Art History,ARHT,UG,Semester 2,ARHT1002,Modern Times: Art and Film,http://sydney.edu.au/courses/uos/ARHT1002
Arts and Social Sciences,Art History,ARHT,UG,Semester 1,ARHT2614,Pollock to Psychedelia,http://sydney.edu.au/courses/uos/ARHT2614
Arts and Social Sciences,Art History,ARHT,UG,Semester 1,ARHT2632,Modern Australian Art and Cinema,http://sydney.edu.au/courses/uos/ARHT2632
Arts and Social Sciences,Art History,ARHT,UG,Semester 2,ARHT2633,Art and Film/Here and Now,http://sydney.edu.au/courses/uos/ARHT2633
Arts and Social Sciences,Art History,ARHT,UG,Semester 2,ARHT2640,Modern and Contemporary Asian Art,http://sydney.edu.au/courses/uos/ARHT2640
Arts and Social Sciences,Art History,ARHT,UG,Semester 2,ARHT2652,From Silent to Sound Cinema,http://sydney.edu.au/courses/uos/ARHT2652
Arts and Social Sciences,Art History,ARHT,UG,Semester 2,ARHT2655,Modern Cinema: Modes of Viewing,http://sydney.edu.au/courses/uos/ARHT2655
Arts and Social Sciences,Art History,ARHT,UG,Semester 1,ARHT2656,Film Genres and National Cinemas,http://sydney.edu.au/courses/uos/ARHT2656
Arts and Social Sciences,Art History,ARHT,UG,Semester 1,ARHT2671,Art~ Travel~ Empires,http://sydney.edu.au/courses/uos/ARHT2671
Arts and Social Sciences,Art History,ARHT,UG,Semester 1,ARHT2673,The Documentary Archive,http://sydney.edu.au/courses/uos/ARHT2673
Arts and Social Sciences,Art History,ARHT,UG,Semester 2,ARHT2674,Fashion and Dress: Past and Present,http://sydney.edu.au/courses/uos/ARHT2674
Arts and Social Sciences,Art History,ARHT,UG,Semester 2,ARHT3601,Cinematic Transformations,http://sydney.edu.au/courses/uos/ARHT3601
Arts and Social Sciences,Art History,ARHT,UG,Semester 1,ARHT3613,Absolutism to Revolution,http://sydney.edu.au/courses/uos/ARHT3613
Arts and Social Sciences,Art History,ARHT,UG,Semester 2,ARHT3636,Issues in Indigenous Art,http://sydney.edu.au/courses/uos/ARHT3636
Arts and Social Sciences,Art History,ARHT,UG,Semester 1,ARHT3646,Modern Art in East Asia,http://sydney.edu.au/courses/uos/ARHT3646
Arts and Social Sciences,Arts Informatics,ARIN,UG,Semester 2,ARIN2610,Web Transformations,http://sydney.edu.au/courses/uos/ARIN2610
Arts and Social Sciences,Arts Informatics,ARIN,UG,Semester 1,ARIN2620,Cyberworlds,http://sydney.edu.au/courses/uos/ARIN2620
Arts and Social Sciences,Arts Informatics,ARIN,UG,Semester 2,ARIN2630,Digital Arts,http://sydney.edu.au/courses/uos/ARIN2630
Arts and Social Sciences,Arts Informatics,ARIN,UG,Semester 1,ARIN2640,Games and Play,http://sydney.edu.au/courses/uos/ARIN2640
Arts and Social Sciences,Arts Informatics,ARIN,UG,Semester 1,ARIN3610,Technology and Culture,http://sydney.edu.au/courses/uos/ARIN3610
Arts and Social Sciences,Arts Informatics,ARIN,UG,Semester 2,ARIN3620,Researching Digital Cultures,http://sydney.edu.au/courses/uos/ARIN3620
Arts and Social Sciences,Australian Literature,ASLT,UG,Semester 1,ASLT2619,Australian Gothic,http://sydney.edu.au/courses/uos/ASLT2619
Arts and Social Sciences,Australian Literature,ASLT,UG,Semester 2,ASLT2622,Australian Modernism,http://sydney.edu.au/courses/uos/ASLT2622
Arts and Social Sciences,Australian Literature,ASLT,UG,Semester 2,ASLT3607,Literature~ Nation~ Location,http://sydney.edu.au/courses/uos/ASLT3607
Arts and Social Sciences,Asian Studies,ASNS,UG,Semester 1,ASNS1101,Introduction to Chinese Civilisation,http://sydney.edu.au/courses/uos/ASNS1101
